NrPolicy,NrObject,NrClaim,Date_of_loss,Paid,Reserves,Settlement_date
3205535,1,3396826,28/01/2013,2125.5160608,0,
3207470,1,3756454,06/01/2016,2008.314,0,
3208564,1,3715376,26/02/2015,51.8544302,0,
3209514,1,3293511,17/06/2012,2371.3484046,0,28/06/2015
3209861,1,3850372,28/06/2016,235.3923,0,
3210916,1,3515966,30/03/2014,3187.64744,0,
3211121,1,3497340,12/03/2014,1182.024816,0,
3211147,1,3358244,25/12/2012,4181.6031796,0,26/12/2015
3214018,1,3438283,15/06/2013,7237.0239144,0,
3214711,1,3404715,22/01/2013,6921.4964478,0,
3215067,1,3535734,02/02/2014,48.5880094,0,
3216026,1,3911846,02/09/2016,472.8933,0,
3216140,1,3511199,25/01/2014,2826.8343489,0,
3216635,1,3857199,22/05/2016,525.9,0,
3219760,1,3658936,07/02/2015,2427.7808946,0,
3220127,1,3315677,10/07/2012,25.05782,0,26/07/2015
3220498,1,3511671,24/12/2013,1293.6996366,0,
3221647,1,3668317,08/05/2015,780.3345726,0,
3222238,1,3561104,29/09/2013,920.48378,0,
3222622,1,3231202,10/02/2012,1928.88696,0,26/01/2015
3224409,1,3556539,27/12/2013,1559.8781178,0,
3224713,1,3826170,14/05/2016,2062.1271,0,
3224996,1,3273088,22/07/2012,151.5740226,0,27/07/2015
3225164,1,3838123,28/03/2016,7445.55,0,
3225423,1,3469466,05/06/2013,4808.5229,0,
3225529,1,3449524,27/03/2013,10684.702574,0,
3227355,1,3422546,14/06/2013,3666.3002068,0,
3228590,1,3306996,18/09/2012,813.9750388,0,10/09/2015
3228794,1,3412202,28/11/2012,1717.44804,0,12/11/2015
3229881,1,3287445,04/07/2012,2001.75339,0,15/07/2015
3231174,1,3937843,28/10/2016,51.5493,2402.93,
3231664,1,3275941,10/04/2012,4451.11485,0,16/04/2015
3233094,1,3350596,11/07/2012,1845.8192298,0,17/07/2015
3233416,1,3442109,26/04/2013,1501.9810344,0,
3233548,1,3890619,31/10/2016,1992.144,0,
3234719,1,3645629,08/09/2014,5252.3259169,0,
3234976,1,3873395,15/10/2016,3419.07,2.93,
3235143,1,3356513,14/08/2012,7787.2206243,0,20/08/2015
3236046,1,3899918,02/07/2016,14000.8927,2.9886,
3236692,1,3584937,30/06/2014,2151.4258892,0,
3237021,1,3590813,29/11/2014,1692.0129402,0,
3238567,1,3827435,13/04/2016,372.12,0,
3240972,1,3328942,06/07/2012,3652.2032976,0,23/07/2015
3241261,1,3221824,28/02/2012,2457.5180994,0,20/02/2015
3242519,1,3821836,25/03/2016,1544.02,0,
3243121,1,3900977,30/06/2016,1702.73,0,
3244703,1,3452649,22/09/2013,2828.7130228,0,
3245957,1,3829314,24/06/2016,11091.8907,71.4714,
3246257,1,3455525,07/07/2013,729.5339888,0,
3247037,1,3241105,26/03/2012,2273.8946958,0,30/03/2015
3248235,1,3794378,16/12/2015,8192.18,0,
3248934,1,3390016,10/12/2012,1040.695227,0,20/12/2015
3249768,1,3484205,08/09/2013,1070.5018886,0,
3249828,1,3270998,17/03/2012,164.16467,0,08/03/2015
3250064,1,3579376,22/02/2014,2973.8557072,0,
3250136,1,3246209,22/05/2012,5863.7219355,0,08/06/2015
3251966,1,3318506,02/05/2012,11002.044596,0,13/05/2015
3252399,1,3356785,04/12/2012,3278.4641208,0,15/11/2015
3252411,1,3619216,25/06/2014,1984.2845319,0,
3253101,1,3868592,24/07/2016,406.0301,0,
3253146,1,3254633,12/05/2012,939.1949658,0,10/05/2015
3253463,1,3299654,04/07/2012,1266.4185534,0,26/06/2015
3254014,1,3785034,07/12/2015,1623.7237996,0,
3254268,1,3682743,25/01/2015,789.2334526,0,
3256880,1,3879977,18/07/2016,4916.68,0,
3257243,1,3426258,28/01/2013,21714.849187,0,
3258616,1,3394702,15/03/2013,10272.46,0,
3258864,1,3409142,28/06/2013,1559.2069696,0,
3259485,1,3805301,27/11/2015,3355.9129098,0,
3260002,1,3861138,07/05/2016,389.1934,0,
3261658,1,3627186,17/08/2014,2413.67731,0,
3261863,1,3933243,04/10/2016,51.5493,5683.0882,
3262010,1,3496442,13/03/2014,533.867348,0,
3262572,1,3533682,12/02/2014,1709.8360762,0,
3262687,1,3289799,27/06/2012,779.3362707,0,07/07/2015
3262975,1,3555605,06/04/2014,6832.93961,0,
3263905,1,3830874,07/02/2016,1999.0138,406.8862,
3265301,1,3913621,27/05/2016,1531.25,0,
3265825,1,3768088,26/01/2016,1371.9216,0,
3266250,1,3562514,26/01/2014,1337.7454747,0,
3266513,1,3238815,03/04/2012,7963.0804344,0,25/03/2015
3266887,1,3509888,06/08/2013,4241.2711852,0,
3267559,1,3370036,06/03/2013,7664.7432092,0,
3268069,1,3354873,16/12/2012,12817.925743,0,16/12/2015
3268265,1,3369499,25/11/2012,6053.7124167,0,25/11/2015
3269026,1,3703072,07/09/2015,403.410463,0,
3269127,1,3799706,26/01/2016,207.2763,0,
3270306,1,3410326,21/05/2013,42.9333224,0,
3270984,1,3336093,24/11/2012,648.5944192,0,06/12/2015
3271093,1,3618858,27/07/2014,445.007808,0,
3271094,1,3781325,27/01/2016,821.37,0,
3271370,1,3480216,18/11/2013,1780.2883372,0,
3271613,1,3370614,05/04/2013,899.9927244,0,
3272851,1,3235516,20/02/2012,1573.8319506,0,08/03/2015
3272868,1,3272429,23/06/2012,1785.99718,0,04/07/2015
3274098,1,3789357,16/02/2016,2546.4879,0,
3275797,1,3805697,02/12/2015,3341.91102,0,
3276172,1,3775642,24/01/2016,51.0286,2378.9007,
3276614,1,3368608,24/12/2012,3245.8311622,0,09/01/2016
3276671,1,3845411,22/03/2016,52.5907,0,
3276691,1,3301493,17/09/2012,155.9155988,0,28/09/2015
3276760,1,3298814,23/06/2012,3363.077718,0,26/06/2015
3277142,106,3464427,06/12/2013,1126.4521996,0,
3277342,138,3674841,21/06/2015,783.1534564,0,
3277593,1,3413653,08/08/2013,27017.936728,0,
3277810,201,3745950,07/12/2015,1595.8035996,0,
3278568,1,3259716,20/05/2012,2499.65586,0,23/05/2015
3278579,1,3703270,14/09/2015,838.6261492,0,
3278627,1,3464481,25/10/2013,2807.72262,0,
3278860,1,3648612,13/10/2014,3679.87096,0,
3279016,168,3700248,17/07/2015,337.6258098,0,
3279040,72,3806333,28/03/2016,2496.518,0,
3279155,126,3636493,21/01/2015,840.6529162,0,
3279740,30,3333332,14/10/2012,1841.5058805,0,15/10/2015
3279928,1,3462532,01/09/2013,415.41365,0,
3280433,66,3245041,01/03/2012,441.7838334,0,11/03/2015
3280495,166,3568018,19/06/2014,97.9012089,0,
3280803,1,3446632,27/03/2013,2030.3917128,0,
3280952,1,3252694,21/03/2012,8147.0829804,0,05/04/2015
3281044,80,3450663,15/07/2013,2110.9041558,0,
3281206,1,3345165,09/05/2012,2187.3751497,0,20/05/2015
3281427,90,3410292,29/03/2013,688.6602382,0,
3282204,1,3796389,03/05/2016,3156.4318,0,
3282566,1,3705757,11/02/2015,5479.6851508,0,
