Year,NrPolicy,NrObject,Dt_Exp_Start,Dt_Exp_End,Time_on_book,Customer_Type,D_age,D_age_banded,BonusMalus,D_ZIP,Nr_payments,VEH_type,Veh_type1,Veh_type2,VEH_brand,Construct_year,Capacity,Nr_of_seats,Premium_earned,Sum_insured
2015,4184603,1,01/01/2015,17/11/2015,3,C,46,45 <=  x < 50,15,6400,1,1,private car,CAR,057,2013,1360,5,157.12571836,13059.863014
2014,4184619,1,01/01/2014,31/12/2014,2,S,45,45 <=  x < 50,10,2760,1,1,private car,CAR,056,2013,1248,2,212.77633151,12691.134247
2013,4184704,1,05/11/2013,31/12/2013,1,C,54,50 <=  x < 55,10,4755,1,1,private car,CAR,015,2013,1868,5,32.567067123,1617.8032787
2013,4184720,1,16/11/2013,31/12/2013,1,C,44,40 <=  x < 45,17,7340,1,70,tow-car,TRUCK,366,2013,0,1,20.096328767,4322.5672131
2015,4184766,1,01/01/2015,31/12/2015,3,C,66,65 <=  x < 70,0,5340,1,1,private car,CAR,064,2013,1870,5,393.1284,28831
2014,4184786,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,15,4702,1,1,private car,CAR,064,2013,1870,2,39.498,9734.88
2015,4184832,1,01/01/2015,31/12/2015,3,C,46,45 <=  x < 50,4,7050,1,1,private car,CAR,015,2013,1997,2,181.24729479,7535.1452055
2013,4184838,1,10/11/2013,31/12/2013,1,C,59,55 <=  x < 60,8,6000,1,1,private car,CAR,047,2012,2148,9,71.789376438,3235.0819672
2013,4184903,1,08/11/2013,31/12/2013,1,C,44,40 <=  x < 45,14,7370,1,1,private car,CAR,015,2013,1398,2,30.965523288,1825.8196721
2014,4184987,1,01/01/2014,31/12/2014,2,C,55,55 <=  x < 60,17,2300,1,5,commercial car <3100 kg,PICKUP,024,2013,1753,2,197.40610521,12269.70137
2014,4185010,1,01/01/2014,31/12/2014,2,C,45,45 <=  x < 50,10,8125,1,1,private car,CAR,064,2013,1461,2,328.65156493,13580.386027
2015,4185254,1,01/01/2015,31/12/2015,3,C,66,65 <=  x < 70,0,2425,1,1,private car,CAR,079,2013,1364,2,181.76,17170
2014,4185317,1,01/01/2014,31/12/2014,2,S,55,55 <=  x < 60,14,2496,1,1,private car,CAR,015,2014,1360,5,85.779068493,3521.2876712
2013,4185329,1,03/11/2013,31/12/2013,1,C,44,40 <=  x < 45,9,4625,1,1,private car,CAR,064,2013,1461,2,24.645770959,2173.5026443
2013,4185343,1,09/11/2013,31/12/2013,1,C,54,50 <=  x < 55,10,4515,1,1,private car,CAR,053,2013,2488,5,58.353726027,4587.5409836
